timestamp,vibration,temperature,rotation_speed
2025-07-25 14:00:00,1.58,94.0,704
2025-07-25 14:00:10,0.82,73.5,1248
2025-07-25 14:00:20,1.06,72.1,1440
2025-07-25 14:00:30,0.94,68.1,1256
2025-07-25 14:00:40,0.44,66.6,1447
2025-07-25 14:00:50,1.04,68.2,1200
2025-07-25 14:01:00,1.1,64.0,1129
2025-07-25 14:01:10,0.83,61.8,1412
2025-07-25 14:01:20,0.68,74.1,1153
2025-07-25 14:01:30,0.56,70.7,1461
2025-07-25 14:01:40,1.38,81.5,736
2025-07-25 14:01:50,0.44,71.9,1378
2025-07-25 14:02:00,0.72,61.8,1515
2025-07-25 14:02:10,0.6,60.0,1287
2025-07-25 14:02:20,0.9,65.0,1192
2025-07-25 14:02:30,0.41,69.6,1338
2025-07-25 14:02:40,0.62,64.8,1278
2025-07-25 14:02:50,0.45,60.6,1153
2025-07-25 14:03:00,0.58,68.7,1533
2025-07-25 14:03:10,0.93,61.3,1458
2025-07-25 14:03:20,1.67,91.6,850
2025-07-25 14:03:30,0.41,70.3,1496
2025-07-25 14:03:40,0.72,60.1,1317
2025-07-25 14:03:50,0.74,69.5,1588
2025-07-25 14:04:00,0.44,65.8,1294
2025-07-25 14:04:10,0.78,63.5,1408
2025-07-25 14:04:20,0.82,69.1,1256
2025-07-25 14:04:30,0.41,61.7,1403
2025-07-25 14:04:40,1.1,64.7,1118
2025-07-25 14:04:50,0.31,68.2,1555
2025-07-25 14:05:00,1.38,89.9,730
2025-07-25 14:05:10,1.0,72.0,1464
2025-07-25 14:05:20,0.77,73.8,1511
2025-07-25 14:05:30,0.35,67.0,1323
2025-07-25 14:05:40,0.82,72.6,1239
2025-07-25 14:05:50,0.37,61.9,1575
2025-07-25 14:06:00,0.8,68.1,1309
2025-07-25 14:06:10,0.47,70.3,1142
2025-07-25 14:06:20,0.94,60.5,1503
2025-07-25 14:06:30,0.41,74.5,1570
2025-07-25 14:06:40,1.49,84.3,702
2025-07-25 14:06:50,0.67,69.6,1521
2025-07-25 14:07:00,1.05,70.2,1455
2025-07-25 14:07:10,0.72,65.7,1286
2025-07-25 14:07:20,0.4,63.9,1477
2025-07-25 14:07:30,0.9,71.9,1290
2025-07-25 14:07:40,0.39,74.4,1418
2025-07-25 14:07:50,0.47,60.4,1555
2025-07-25 14:08:00,0.52,67.8,1528
2025-07-25 14:08:10,0.41,72.8,1401
2025-07-25 14:08:20,1.53,81.8,822
2025-07-25 14:08:30,0.66,64.1,1343
2025-07-25 14:08:40,1.08,63.0,1517
2025-07-25 14:08:50,0.52,67.8,1204
2025-07-25 14:09:00,0.83,64.4,1228
2025-07-25 14:09:10,0.85,72.1,1248
2025-07-25 14:09:20,0.73,68.8,1504
2025-07-25 14:09:30,0.95,60.9,1466
2025-07-25 14:09:40,0.97,60.6,1406
2025-07-25 14:09:50,0.92,68.8,1580
2025-07-25 14:10:00,1.81,84.4,817
2025-07-25 14:10:10,0.58,71.0,1244
2025-07-25 14:10:20,0.75,68.5,1565
2025-07-25 14:10:30,0.8,64.2,1456
2025-07-25 14:10:40,0.73,68.8,1126
2025-07-25 14:10:50,1.03,66.1,1418
2025-07-25 14:11:00,0.42,62.6,1579
2025-07-25 14:11:10,0.89,67.7,1151
2025-07-25 14:11:20,0.98,68.6,1463
2025-07-25 14:11:30,0.96,75.0,1445
2025-07-25 14:11:40,1.63,89.8,626
2025-07-25 14:11:50,0.36,61.1,1433
2025-07-25 14:12:00,0.35,64.6,1578
2025-07-25 14:12:10,0.89,62.5,1279
2025-07-25 14:12:20,0.39,74.4,1464
2025-07-25 14:12:30,0.45,61.7,1436
2025-07-25 14:12:40,0.52,65.0,1366
2025-07-25 14:12:50,0.5,64.8,1103
2025-07-25 14:13:00,1.01,73.2,1504
2025-07-25 14:13:10,0.43,68.4,1491
2025-07-25 14:13:20,1.9,94.7,714
2025-07-25 14:13:30,0.59,67.8,1586
2025-07-25 14:13:40,0.32,72.7,1587
2025-07-25 14:13:50,0.96,73.9,1532
2025-07-25 14:14:00,0.62,63.3,1353
2025-07-25 14:14:10,0.59,69.2,1281
2025-07-25 14:14:20,0.52,64.2,1263
2025-07-25 14:14:30,0.36,70.8,1568
2025-07-25 14:14:40,0.83,67.3,1332
2025-07-25 14:14:50,0.92,72.8,1499
2025-07-25 14:15:00,1.45,87.7,675
2025-07-25 14:15:10,0.81,64.1,1287
2025-07-25 14:15:20,0.98,66.1,1421
2025-07-25 14:15:30,0.47,70.2,1522
2025-07-25 14:15:40,0.84,63.3,1170
2025-07-25 14:15:50,0.98,72.6,1319
2025-07-25 14:16:00,0.5,71.9,1209
2025-07-25 14:16:10,0.61,65.4,1395
2025-07-25 14:16:20,0.87,73.1,1460
2025-07-25 14:16:30,1.02,65.6,1495
